/kaggle/working/audio/res/Fondasi Keropos Pendidikan Indonesia_0093_SPEAKER_00.wav| assessment terstandar nasional yang menjadi alat ukur orang masuk ke jenjang berikutnya.|17
/kaggle/working/audio/res/prokrastinasi_0044_SPEAKER_00.wav|Lebih baik memulai dan menyelesaikan daripada enggak sama sekali.|56
/kaggle/working/audio/res/Cara Mengisi Suara untuk Video Tutorial Biar Lebih Menarik ｜ #voiceover_0036_SPEAKER_00.wav|Nah, kalau sudah, klik tombol Add di bagian bawah.|14
/kaggle/working/audio/res/Rich Dad Poor Dad by Robert T Kiyosaki I Full Audio Buku Bahasa Indonesia_1623_SPEAKER_00.wav| Anda bekerja untuk pemerintah.|42
/kaggle/working/audio/res/Rich Dad Poor Dad by Robert T Kiyosaki I Full Audio Buku Bahasa Indonesia_1476_SPEAKER_00.wav|Konon bagi kebanyakan orang|42
/kaggle/working/audio/res/Rich Dad Poor Dad by Robert T Kiyosaki I Full Audio Buku Bahasa Indonesia_2431_SPEAKER_00.wav| Tertulis di sini penulis buku laris.|42
/kaggle/working/audio/res/Aku membuat AI dari nol_0015_SPEAKER_00.wav|Oh, kalau pikselnya disini, disini, disini, disini, maka dia angka 3.|4
/kaggle/working/audio/res/Full Guide Belajar CODING untuk Pemula 💻📚_0175_SPEAKER_00.wav| Poin keempat, learning by practicing, learning by doing.|19
/kaggle/working/audio/res/Alasan Utama Banyak Orang Gagal Kaya! Sampai kapan mau tetap miskin？_0148_SPEAKER_01.wav|Jelas, karena dia presiden.|6
/kaggle/working/audio/res/Tutorial Unreal Engine 5 Bahasa Indonesia Bagian 2 - User Interface_0100_SPEAKER_00.wav|Jadi itu gunanya tombol Editing Mode yang ada di sini.|51
/kaggle/working/audio/res/Rich Dad Poor Dad by Robert T Kiyosaki I Full Audio Buku Bahasa Indonesia_0740_SPEAKER_00.wav|Dan tidak menyadari bahwa kurangnya pendidikan keuangan, mereka lah yang menjadi masalah.|42
